Planet_Name,Planet_Radius,Planet_Mass,Orbital_Period,Semi_Major_Axis,Equilibrium_Temp,Planet_Density,Stellar_Temp,Stellar_Luminosity,Stellar_Metallicity,Habitability_Score_Index,Stellar_Compatibility_Index,Orbital_Stability_Factor,StarType_A,StarType_F,StarType_G,StarType_K,StarType_M,Target_Habitable
TOI-1439 b,4.2427861,38.5,22.411880912500003,0.16746499999999997,748.4,2.76,5841.0,2.7600058336054962,0.226,0.16217550221312751,0.9991183888476703,0.09597312868857896,False,False,False,True,False,1
TOI-1443 b,2.30381001,30.0,22.411880912500003,0.147,520.66,6.8187500000000005,5224.0,0.379996853036855,-0.294,0.3593505937920302,0.9340703190216456,0.07380279243178342,False,False,False,True,False,1
TOI-1444 b,1.41792246,3.58,0.4702743,0.0116,2130.02,6.8187500000000005,5460.0,0.66700639840271,0.146,0.04310204147177634,0.9777786146112598,0.016124059702033715,False,False,False,True,False,0
TOI-1448 b,2.749,19.5,8.112245,0.0567,426.0,1.42,3412.0,0.2714344707869742,0.37,0.21600473829678105,0.2882318113101786,0.4308560042196906,False,False,False,True,False,1
TOI-1450 A b,1.13,1.258,2.0439274,0.054235,722.0,1.42,3437.0,0.9412608599916935,-0.12,0.1494425601292652,0.2958684875450846,0.6961505091789627,False,False,False,False,True,1
TOI-1451 b,2.61143902,15.2,16.537944,0.127,723.33,4.67,5801.0,1.058010554122454,0.019,0.21158953494663973,0.999882451353828,0.00037124077851953416,False,False,False,True,False,1
TOI-1453 b,1.173,2.32,4.3135225,0.054235,944.2,6.8187500000000005,4975.0,0.9412608599916935,-0.31,0.13892944936032028,0.8665019764346735,0.05796634813566806,False,False,False,True,False,1
TOI-1453 c,2.224,2.95,6.5886982,0.054235,819.8,1.472135,4975.0,0.9412608599916935,-0.31,0.1262086612539176,0.8665019764346735,0.3081985828109533,False,False,False,True,False,1
TOI-1468 b,1.401,3.04,1.8805201,0.02107,683.5,6.1,3376.0,0.2714344707869742,-0.01,0.11736154146237232,0.27744453983440015,0.42435285189419475,False,False,False,True,False,1
TOI-1468 c,2.126,4.1,15.532477,0.08608,338.1,2.31,3376.0,0.2714344707869742,-0.01,0.315101083629668,0.27744453983440015,0.45215394053007657,False,False,False,True,False,1
TOI-1470 b,2.18,7.32,2.527093,0.0285,734.0,3.86,3709.0,0.2714344707869742,0.0,0.128416676553399,0.38624622579508916,0.30613954156715656,False,False,False,False,True,1
TOI-1470 c,2.47,7.24,18.08816,0.106,373.0,2.66,3709.0,0.2714344707869742,0.0,0.3418009883896195,0.38624622579508916,0.31350329437855673,False,False,False,False,True,1
TOI-1472 b,4.058,18.05,6.36338574,0.064,891.0,1.49,5100.0,0.9412608599916935,0.27,0.11874623711619142,0.902892301608292,0.06343105841958328,False,False,False,True,False,1
TOI-1472 c,3.334,21.13,15.5381747,0.116,662.0,3.14,5100.0,0.9412608599916935,0.27,0.19905865071560572,0.902892301608292,0.06420734620686337,False,False,False,True,False,1
TOI-150.01,14.067295,762.4431696,5.857487,0.07037,1404.5,1.68,6255.0,2.8468527213318002,0.28,0.053937041954596344,0.9506949837560605,0.13147956294080124,False,True,False,False,False,0
TOI-1518 b,21.05046575,581.62598481,1.90261131,0.03712,2546.0,0.343,7299.0,2.8468527213318002,-0.1,0.026134058299508368,0.5980397832921178,0.2679958417118645,False,False,False,True,False,0
TOI-157 b,14.414774,375.0394,2.0845435,0.03138,1588.0,0.686,5404.0,1.0470079998610848,0.24,0.042159957732430905,0.9693945713900376,0.022183340940236357,False,False,True,False,False,0
