Planet_Radius,Planet_Mass,Orbital_Period,Semi_Major_Axis,Equilibrium_Temp,Planet_Density,Stellar_Temp,Stellar_Luminosity,Stellar_Metallicity,StarType_A,StarType_F,StarType_G,StarType_K,StarType_M,Habitability_Score,Predicted_Class,Rank
1.4,3.2,0.68453862616,0.054235,1355.0,5.9,4232.0,0.9412608599916936,0.14,False,False,False,True,False,0.988172,1,89
10.581296,241.5508,3.799847,0.04117,818.0,1.118,4390.0,0.2714344707869742,-0.127,False,False,False,True,False,0.98230815,1,90
2.64,12.5,7.501428,0.0763,1360.0,3.7,6047.0,2.8468527213318,-0.07,False,False,False,True,False,0.97123736,1,91
3.01,8.1,4.30744,0.049,955.0,1.63,5151.0,0.9412608599916936,0.17,False,False,False,True,False,0.95545137,1,92
10.83908434,206.58846455,5.1750073,0.05649,1000.0,0.88,5360.0,0.5309944722259565,0.1,False,False,False,True,False,0.9544644,1,93
1.289,2.77,1.46712127,0.01714,696.3,6.66,3334.0,0.2714344707869742,-0.15,False,False,False,True,False,0.9504707,1,94
11.478016,117.5971,3.7955202,0.03745,586.8,0.42,3405.0,0.2714344707869742,0.17,False,False,False,False,True,0.93220097,1,95
13.67495645,762.4431696,3.5819194,0.04,725.0,1.82,3794.0,0.2714344707869742,0.52,False,False,False,False,True,0.91823655,1,96
12.17295304,762.4431696,14.574071,0.1291,1061.0,3.5,6466.0,2.8468527213318,-0.004,False,True,False,False,False,0.89811426,1,97
1.147,1.54,3.1239035,0.02661,508.0,5.57,3340.0,0.9412608599916936,-0.34,False,False,False,True,False,0.89260834,1,98
13.22662,82.95363,4.3888497,0.04944,1003.0,0.191,5099.0,0.4000000079872419,0.05,False,False,False,True,False,0.7795249,1,99
1.325,2.46,0.76837931,0.01195,903.0,5.8,3358.0,0.2714344707869742,0.06,False,False,False,True,False,0.555059,1,100
12.55405838,762.4431696,3.122832,0.0384,1001.0,2.7,4672.0,0.2714344707869742,-0.04,False,False,False,True,False,0.5041122,1,101
9.247,84.857,4.640382,0.0523,1082.0,0.59,5330.0,0.6194410750767815,0.06,False,False,False,True,False,0.47766927,0,102
2.81,9.83,1.2392495,0.018,934.0,2.42,3657.0,0.2714344707869742,0.196,False,False,False,False,True,0.381389,0,103
2.401,25.6,3.005156,0.0375,1138.0,6.8187500000000005,5599.0,0.9412608599916936,0.07,False,False,False,True,False,0.28160203,0,104
1.21612741,1.4,2.799868,0.0378,1269.21,4.13,5785.0,0.8849933350369471,-0.193,False,False,False,True,False,0.26674995,0,105
1.24,2.53,0.5734745,0.01,996.0,6.8187500000000005,3542.0,0.2714344707869742,-0.17,False,False,False,False,True,0.2524103,0,106
10.76062147,260.61929374,8.60077,0.075,1188.0,1.14,5673.0,0.9412608599916936,0.47,False,False,False,True,False,0.24814361,0,107
2.16,7.25,3.98442,0.049,1311.0,3.97,5863.0,1.1799945460606736,0.018,False,False,True,False,False,0.23550862,0,108
1.70824866,7.3418362,2.36902,0.03359,1366.0,6.8187500000000005,5420.0,0.6570070049599265,0.033,False,False,False,True,False,0.12941815,0,109
8.29464572,82.63538582,3.936551,0.043,690.0,0.8,3870.0,0.9412608599916936,0.4,False,False,False,False,True,0.06474512,0,110
4.976796,29.24036,3.5357173,0.0403,1143.0,1.395,5187.0,0.9412608599916936,0.1,False,False,False,True,False,0.05046703,0,111
6.41,78.5,5.8267311,0.069,1439.0,1.62,6110.0,2.8468527213318,0.124,False,False,False,True,False,0.038706716,0,112
2.004,3.55,3.585287,0.04888,1552.0,2.44,6354.0,2.3099894690339875,0.025,False,False,False,True,False,0.033068944,0,113
11.99363,301.9385,10.62656,0.092,1397.0,1.42,6261.0,2.6999765984012107,0.24,False,True,False,False,False,0.031723663,0,114
1.49681583,2.44,0.54937097,0.0122,1694.1,3.98,4914.0,0.2930016054501845,0.044,False,False,False,True,False,0.019372756,0,115
13.2,224.0,2.65206166,0.02603,593.0,0.53,3363.0,0.2714344707869742,-0.08,False,False,False,False,True,0.008712541,0,116
11.56766808,464.02947422,1.73185606,0.02384,895.1,1.64,3776.9,0.2714344707869742,0.514,False,False,False,True,False,0.008432771,0,117
10.76062147,198.96058278,3.811678,0.044,994.0,0.88,4774.0,0.9412608599916936,0.2,False,False,False,True,False,0.0064399666,0,118
17.59813,149.3801,5.477433,0.0694,1740.0,0.16,6900.0,0.9412608599916936,-0.1,False,True,False,False,False,0.0061417525,0,119
3.10083009,12.5,1.21687,0.0207,1236.7,2.3,4635.0,0.2714344707869742,0.328,False,False,False,True,False,0.0061170007,0,120
13.31626907,762.4431696,1.44044527,0.02065,872.0,2.37,3572.0,0.2714344707869742,0.323,False,False,False,True,False,0.005552744,0,121
11.646151,184.02357,4.098503,0.04839,1092.0,0.64,5425.0,0.5540003001200583,-0.15,False,False,True,False,False,0.0041255495,0,122
12.89035,317.83,5.367753,0.0663,1500.0,1.42,6400.0,0.9412608599916936,-0.02,False,True,False,False,False,0.003442202,0,123
10.9175472,61.65871096,6.235633,0.074,1468.0,0.26,6070.0,2.8468527213318,0.288,False,False,False,True,False,0.0034047961,0,124
15.322703,257.4423,6.24658,0.0731,2040.0,0.4,4550.0,0.9412608599916936,0.11,False,False,False,True,False,0.0031895589,0,125
1.613,5.72,0.719573,0.01661,2463.0,6.8187500000000005,5959.0,0.9412608599916936,0.255,False,False,False,True,False,0.0028971692,0,126
14.44837612,403.32424848,5.167228,0.065,1665.0,0.74,6050.0,0.9412608599916936,0.0,False,False,False,True,False,0.0027935249,0,127
12.31866979,762.4431696,7.433234,0.0795,1198.0,3.63,6100.0,2.1680036048974176,0.175,False,False,False,True,False,0.0026908298,0,128
1.46954368,2.8,1.0376109,0.02061,1842.23,4.81,5908.0,1.1689878572696135,0.11,False,False,False,True,False,0.0021527605,0,129
1.43,4.3,1.422614,0.02288,1328.0,6.8187500000000005,4916.0,0.9412608599916936,0.07,False,False,False,True,False,0.001867998,0,130
22.31,266.97,8.6001536,0.0948,1729.0,0.131,6161.0,2.8468527213318,-0.18,False,False,False,True,False,0.0017407947,0,131
1.62,3.48,1.0697568,0.019,1517.0,4.5,4884.0,0.9412608599916936,0.08,False,False,True,False,False,0.0016962013,0,132
1.28,3.07,0.490047,0.0113,1862.0,6.8187500000000005,4850.0,0.9412608599916936,0.2,False,False,False,True,False,0.0016959622,0,133
1.397,2.02,0.4465697,0.01064,2319.0,4.1,5599.0,0.9412608599916936,0.07,False,False,False,True,False,0.0015705731,0,134
1.676,7.8,0.5713127,0.01314,2299.0,6.8187500000000005,5578.0,0.9412608599916936,-0.005,False,False,False,True,False,0.0015464968,0,135
12.27383387,55.61997123,6.607662,0.0743,1295.0,0.165,5975.0,2.5879745429116703,0.182,False,False,False,True,False,0.0012198776,0,136
9.52765,47.03884,3.3769848,0.0451,1479.0,0.318,5638.0,0.9412608599916936,0.27,False,False,True,False,False,0.0010833106,0,137
13.922,111.871,4.301219,0.0507,1108.0,0.23,5295.0,0.6397348354826481,0.33,False,False,False,True,False,0.00074713817,0,138
13.271456,95.03117,4.5195064,0.05427,1186.0,0.237,5839.0,0.9412608599916936,0.09,False,False,True,False,False,0.0006755202,0,139
10.592505,183.38791,2.2252577,0.03211,1295.7,0.46,5137.0,0.4813045862525545,0.377,False,False,False,True,False,0.00066368404,0,140
13.50682174,97.57332095,4.21802091,0.05042,1168.2,0.218,5453.0,0.7900052910832215,0.302,False,False,False,True,False,0.00054977933,0,141
